iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,risk_level
CYP,Europe,Cyprus,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,,,,,Low
BEL,Europe,Belgium,2020-03-11,316.0,0.0,45.0,0.0,0.0,0.0,27.144,0.0,3.865,0.0,0.0,0.0,2.41,2.0,0.172,14.0,1.201,,,,,7010.0,1108.0,0.604,0.095,767.0,0.066,0.079,12.7,tests performed,,,,,,,,,,,,,,19.44,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923,,,,,Low
SVN,Europe,Slovenia,2020-03-11,20.0,0.0,2.857,0.0,0.0,0.0,9.455,0.0,1.351,0.0,0.0,0.0,,1.0,0.472,18.0,8.491,,,,,2818.0,749.0,1.33,0.353,351.0,0.166,0.031,32.3,tests performed,,,,,,,,,,,,,,25.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,2119843,,,,,Low
SRB,Europe,Serbia,2020-03-11,1.0,0.0,0.143,0.0,0.0,0.0,0.147,0.0,0.021,0.0,0.0,0.0,,0.0,0.0,12.0,1.746,,,,,151.0,34.0,0.022,0.005,14.0,0.002,0.1224,8.2,people tested,,,,,,,,,,,,,,25.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547,,,,,Low
SVK,Europe,Slovakia,2020-03-11,3.0,0.0,0.429,0.0,0.0,0.0,0.548,0.0,0.078,0.0,0.0,0.0,,2.0,0.354,7.0,1.24,,,,,797.0,97.0,0.146,0.018,,,,,tests performed,,,,,,,,,,,,,,33.33,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455,,,,,Low
SVN,Europe,Slovenia,2020-03-12,20.0,0.0,2.857,0.0,0.0,0.0,9.455,0.0,1.351,0.0,0.0,0.0,,2.0,0.943,17.0,8.019,,,,,3863.0,1045.0,1.823,0.493,485.0,0.229,0.036,27.8,tests performed,,,,,,,,,,,,,,25.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,2119843,,,,,Low
CZE,Europe,Czechia,2020-03-12,27.0,0.0,3.857,0.0,0.0,0.0,2.53,0.0,0.361,0.0,0.0,0.0,,0.0,0.0,3.0,0.286,0.0,0.0,3.0,0.286,,,,,,,,,,,,,,,,,,,,,,,50.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990,,,,,Low
SVK,Europe,Slovakia,2020-03-12,3.0,0.0,0.429,0.0,0.0,0.0,0.548,0.0,0.078,0.0,0.0,0.0,,3.0,0.532,8.0,1.418,,,,,892.0,95.0,0.164,0.017,,,0.024,41.7,tests performed,,,,,,,,,,,,,,45.37,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455,,,,,Low
SRB,Europe,Serbia,2020-03-12,1.0,0.0,0.143,0.0,0.0,0.0,0.147,0.0,0.021,0.0,0.0,0.0,,1.0,0.146,19.0,2.765,,,,,185.0,34.0,0.027,0.005,18.0,0.003,0.1508,6.6,people tested,,,,,,,,,,,,,,25.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547,,,,,Low
CYP,Europe,Cyprus,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,,,,,Low
